Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Range (km),Available Colors,Max Horsepower (Ps)_is_imputed,Seat Height (mm)_is_imputed,Curb Weight (kg)_is_imputed,Fuel Tank Capacity (L)_is_imputed,Max Speed (km/h)_is_imputed
汉威 Flash 150T,10800,Hanwei,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 150cc,11.6,8.5/8000,CVT continuously variable transmission automatic transmission,none,xx(mm),2025x750x1160,800.0,118.0,7.5,102.0,2.5,Not specified,"red, gray, black, white, blue",False,False,False,False,False
布雷斯通 蓝卡150,10980,Brestone,Pedal,domestic,Zhejiang Senling Motorcycle Co,single cylinder four stroke water-cooled 150cc,13.9,10.2/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,1930x750x1180,780.0,112.0,10.0,105.0,2.2,450,"Mint Green, Ocean Blue, Sea Shell White, Carbon Copper Grey",False,False,False,False,False
布雷斯通 漫卡,12880,Brestone,Pedal,domestic,Zhejiang Senling Motorcycle Co,single cylinder four stroke water-cooled 150cc,15.2,11.2/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,1980x720x1210,770.0,130.0,11.0,105.0,Not specified,440,Not Specified,False,False,False,False,False
布雷斯通 摩卡,12880,Brestone,Pedal,domestic,Zhejiang Senling Motorcycle Co,single cylinder four stroke water-cooled 150cc,15.9,11.7/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,1985x720x1155,740.0,130.0,14.0,105.0,Not specified,Not specified,"Light gauze white, Glow silver, Blue smoke gray, Su Qi blue",False,False,False,False,False
布雷斯通 BL150T-6E,Currently no quotation available,Brestone,Pedal,domestic,Zhejiang Senling Motorcycle Co,single cylinder four stroke water-cooled 150cc,13.6,10/,CVT continuously variable transmission automatic transmission,standard,Not specified,1950x775x1380,770.0,134.0,0.0,85.0,Not specified,Not specified,Not Specified,False,True,False,False,False
布雷斯通 极宙 ADV150,12980,Brestone,Pedal,domestic,Zhejiang Senling Motorcycle Co,single cylinder four stroke water-cooled 150cc,13.9,10.2/8500,CVT continuously variable transmission automatic transmission,standard,xx(mm),1950x760x1150,800.0,120.0,11.0,105.0,2.2,400,"Sun grazing platinum gray, bright moon white, deep space gray, star red, sky blue, dark stone green, Titan silver",False,False,False,False,False
布雷斯通 极岳,16880,Brestone,Pedal,domestic,Zhejiang Senling Motorcycle Co,single cylinder four stroke water-cooled 150cc,14.7,10.8/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,1955x740x1200,780.0,120.0,11.5,100.0,Not specified,Not specified,"Berkeley Blue, Memphis Grey",False,False,False,False,False
虬龙 轻蜂S,12888,Qiulong,Off road,Domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,none,Not specified,1820x730x1020,780.0,48.0,9.0,95.0,Not Specified,65,Not Specified,True,False,False,True,True
虬龙 极蜂,32000,Qiulong,Off road,Domestic,Chongqing Qiulong Technology Co,Not Specified,17.0,12.5/,Not Specified,none,xx(mm),2060x880x1178,850.0,93.0,9.0,90.0,Not Specified,140,Not Specified,False,False,False,True,False
虬龙 暴蜂,45800,Qiulong,Off road,Domestic,Not Specified,Not Specified,30.6,22.5/,Not Specified,standard,Not specified,2130x810x1220,910.0,133.0,9.0,110.0,Not Specified,120,Not Specified,False,False,False,True,False
虬龙 轻蜂,Currently no quotation available,Qiulong,Off road,Domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,none,Not specified,1885x780x1050,810.0,42.0,9.0,95.0,Not Specified,120,Not Specified,True,False,False,True,True
吉铭 吉虎,9800,Jiming,Pedal,domestic,Zhejiang Jiming Industrial Co,single cylinder four stroke water-cooled 150cc,15.0,11/8500,CVT continuously variable transmission automatic transmission,Not specified,xx(mm),1970x725x1095,770.0,119.0,7.3,95.0,2.32,Not specified,"Black, Blue, Silver, Red",False,False,False,False,True
吉铭 瓦西利卡 Vasilica 150i,10800,Jiming,Pedal,domestic,Zhejiang Jiming Industrial Co,single cylinder four stroke water-cooled 150cc,15.0,11/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,1960x710x1155,770.0,120.0,7.0,95.0,Not specified,Not specified,"Matcha Green/Coast White, Midnight Grey/Racing Yellow, Gulf Oil",False,True,False,False,False
吉铭 阿图瓦,10800,Jiming,Pedal,domestic,Zhejiang Jiming Industrial Co,single cylinder four stroke water-cooled 150cc,15.0,11/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,1990x770x1158,760.0,130.0,8.9,110.0,2.32,380,"black, blue, white",False,False,False,False,False
吉铭 吉越S JM400,23800,Jiming,Sports car,domestic production,Not Specified,inline dual cylinder four stroke water-cooled 400cc,34.67,25.5/8200,international 6-speed,standard,Not specified,2025x760x1135,780.0,188.0,16.0,160.0,Not specified,Not specified,Not Specified,False,False,False,False,False
吉铭 吉越SS,26800,Jiming,Sports car,domestic production,Not Specified,inline dual cylinder four stroke water-cooled 500cc,42.8,31.5/8500,international 6-speed,standard,xx(mm),2075x750x1160,780.0,200.0,15.0,95.0,4,Not specified,Not Specified,False,False,False,False,True
吉铭 JM800,42800,Jiming,Street car,domestic production,Zhejiang Jiming Industrial Co,inline four cylinder four stroke water-cooled 800cc,116.9,86/,international 6-speed,standard,Not specified,2135x800x1090,780.0,217.0,18.0,185.0,Not specified,350,"bright black, red, blue, matte black",False,False,False,False,False
吉铭 G麒,29800,Jiming,Not Specified,domestic production,Not Specified,inline dual cylinder four stroke water-cooled 500cc,42.8,31.5/8500,international 6-speed,standard,xx(mm),2105x845x1205,815.0,203.0,15.0,160.0,Not specified,Not specified,Not Specified,False,False,False,False,False
吉铭 雷神 JM500,24600,Jiming,Cruising crown prince,Domestic,Not Specified,inline dual cylinder four stroke water-cooled 450cc,36.0,26.5/8000,international 6-speed,standard,xx(mm),2250x845x1155,770.0,194.0,19.0,135.0,Not specified,300,Not Specified,False,True,False,False,False
吉铭 弗莱尔175,17800,Jiming,Three wheel,Domestic,Not Specified,single cylinder four stroke air-cooled 175cc,9.2,6.8/7500,CVT continuously variable transmission automatic transmission,none,xx(mm),2025x1220x1000,715.0,168.0,8.5,80.0,Not specified,Not specified,"matte gold, matte gray",False,False,False,False,False
吉铭 坦途300,36800,Jiming,Three wheel,Domestic,Zhejiang Jiming Industrial Co,single cylinder four stroke water-cooled 300cc,17.7,13/6500,CVT continuously variable transmission automatic transmission,Not specified,xx(mm),2410x1295x1160,770.0,254.0,11.0,95.0,3.8,Not specified,Vitality Orange,False,True,False,False,False
大力神 H2,22800,Hercules,Sports car,domestic production,Not Specified,inline dual cylinder four stroke water-cooled 400cc,12.6,Not Specified,Not specified,Not Specified,xx(mm),Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
大力神 F7,22800,Hercules,Sports car,domestic production,Not Specified,400cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,"green, red, blue",True,True,True,False,True
大力神 F8,23800,Hercules,Sports car,domestic production,Not Specified,400cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
大力神 N19,25800,Dalishen,Street car,domestic production,Not Specified,4-stroke 400cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
大力神 UR400,25800,Dalishen,Cruising crown prince,Domestic,Not Specified,4-stroke 400cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,"matte black, blue, red",True,True,True,False,True
杜卡森 DK400,23800,Dukasen,Sports car,domestic production,Shanghai Jianshe Motorcycle Technology Co,inline dual cylinder four stroke water-cooled 400cc,31.0,22.8/8500,international 6-speed,standard,Not specified,2020x740x1150,770.0,195.0,22.0,160.0,3.6,Not specified,"Sparkling Black, Interstellar White, Black Red, Matte Black Gold",False,False,False,False,False
林海 米兰阳光,12980,Linhai,Pedal,domestic,Linhai Co,single cylinder four stroke water-cooled 150cc,12.9,9.5/8250,CVT continuously variable transmission automatic transmission,standard,Not specified,1890x705x1135,760.0,128.0,10.0,102.0,2.5,Not specified,Not Specified,False,False,False,False,False
林海 探路者150,14580,Linhai,Pedal,domestic,Linhai Co,single cylinder four stroke water-cooled 150cc,14.3,10.5/8000,CVT continuously variable transmission automatic transmission,standard,Not specified,1980x740x1220,760.0,147.0,12.0,106.0,2.7,440,"Army Green, Magic Orchid, Sub Black, Silver Grey, Pearl White",False,False,False,False,False
林海 L-MAX,14880,Linhai,Pedal,domestic,Linhai Co,single cylinder four stroke water-cooled 150cc,14.3,10.5/8000,CVT continuously variable transmission automatic transmission,standard,Not specified,1971x740x1196,760.0,147.0,14.0,95.0,2.7,400,"cool gray, fog gray, sub black, sub orchid, pearl white",False,False,False,False,True
林海 Trinity 150,23800,Linhai,Three wheel,Domestic,Not Specified,single cylinder four stroke water-cooled 150cc,14.3,10.5/8000,CVT continuously variable transmission automatic transmission,none,xx(mm),2002x652x1172,810.0,158.0,6.0,106.0,2.7,Not specified,"Mist gray, blue, red, white",False,False,False,False,False
林海 V舞,5780,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.2,5.3/8000,CVT continuously variable transmission automatic transmission,none,xx(mm),1735x635x1045,760.0,91.0,4.0,78.0,2.3,220,Not Specified,False,False,False,False,False
林海 格格,5980,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.2,5.3/8000,Not specified,Not Specified,xx(mm),1780x670x1060,730.0,91.0,4.0,78.0,2.3,220,"Deep Blue, Deep Purple, Black, White",False,False,False,False,False
林海 U扬,6180,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.2,5.3/8000,Not specified,Not Specified,xx(mm),1905x665x1100,750.0,104.0,6.0,78.0,2.3,220,"red, brown, silver, white, black",False,False,False,False,False
林海 雅格,6180,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.2,5.3/8000,Not specified,Not Specified,xx(mm),1695x665x1075,750.0,95.0,4.0,78.0,2.3,220,Not Specified,False,False,False,False,False
林海 福缘,6180,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.2,5.3/8000,CVT continuously variable transmission automatic transmission,none,xx(mm),1755x640x1025,750.0,91.0,4.5,78.0,2.3,220,"Blue, Silver, White, Black",False,False,False,False,False
林海 新雅格,6280,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.2,5.3/8000,Not specified,Not Specified,xx(mm),1720x665x1065,750.0,95.0,4.0,78.0,2.3,220,"gray green, black red, white blue, gray black",False,False,False,False,False
林海 小四代目,6380,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.2,5.3/8000,Not specified,Not Specified,xx(mm),1850x703x1077,730.0,97.0,4.4,78.0,2.3,220,Not Specified,False,False,False,False,False
林海 战影,6480,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.2,5.3/8000,Not specified,Not Specified,xx(mm),1850x670x1060,730.0,97.0,4.4,78.0,2.3,220,"dark gray, gray, red, white",False,False,False,False,False
林海 V驰,6580,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.2,5.3/8000,Not specified,Not Specified,xx(mm),1765x640x1075,710.0,91.0,4.5,78.0,2.3,220,"Green Silver, Blue Silver, Blue Grey, Red Black, White Grey",False,False,False,False,False
林海 LH125T-9,7980,Linhai,Pedal,domestic,Linhai Co,single cylinder four stroke air-cooled 125cc,7.5,5.5/8000,CVT continuously variable transmission automatic transmission,standard,Not specified,1860x680x1120,735.0,105.0,5.0,80.0,2.5,220,"matte blue, sub black, white, titanium gray",False,False,False,False,False
林海 五代目,10800,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,9.2,6.8/7500,CVT continuously variable transmission automatic transmission,none,xx(mm),1860x655x1130,790.0,117.0,5.5,95.0,2.5,300,"Black Red, Blue White, Mist Grey, Sub Black, White, Black",False,False,False,False,False
林海 Force 领程,14800,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 150cc,14.3,10.5/8000,CVT continuously variable transmission automatic transmission,standard,xx(mm),1990x720x1130,780.0,141.0,7.0,106.0,2.7,320,"Mist gray, Pearl white, Tender green, Sub black",False,False,False,False,False
林海 雄鹿 150,15800,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 150cc,14.3,10.5/8000,CVT continuously variable transmission automatic transmission,standard,xx(mm),1990x720x1130,780.0,141.0,7.0,106.0,2.7,320,Not Specified,False,False,False,False,False
林海 ATV 200-D,Currently no quotation available,Linhai,Not Specified,Not Specified,Not Specified,single cylinder four stroke oil cooled 200cc,9.5,7/6500,Not specified,Not Specified,xx(mm),2160x1140x1240,830.0,270.0,16.0,95.0,Not specified,Not specified,"military green, yellow, blue, white, red, black",False,False,False,False,True
林海 ATV 300-D,Currently no quotation available,Linhai,Not Specified,Not Specified,Not Specified,single cylinder four stroke water-cooled 300cc,21.8,16/6500,Not specified,Not Specified,xx(mm),2160x1140x1270,850.0,295.0,16.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
林海 ATV 400-D,Currently no quotation available,Linhai,Not Specified,Not Specified,Not Specified,single cylinder four stroke water-cooled 400cc,25.8,19/7000,Not specified,Not Specified,xx(mm),2175x1160x1265,870.0,371.0,12.5,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
林海 ATV 500,Currently no quotation available,Linhai,Not Specified,Not Specified,Not Specified,single cylinder four stroke water-cooled 500cc,32.6,24/6500,Not specified,Not Specified,xx(mm),2180x1160x1270,900.0,375.0,0.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
林海 M 150,Currently no quotation available,Linhai,Not Specified,Not Specified,Not Specified,single cylinder four stroke air-cooled 150cc,10.2,7.5/7500,CVT continuously variable transmission automatic transmission,none,xx(mm),1815x949x1290,800.0,200.0,8.35,60.0,Not specified,Not specified,Not Specified,False,False,False,False,False
林海 M 550,Currently no quotation available,Linhai,Not Specified,Not Specified,Not Specified,single cylinder four stroke water-cooled 500cc,32.6,24/6500,Not specified,Not Specified,xx(mm),2180x1160x1270,900.0,375.0,14.5,80.0,Not specified,Not specified,Not Specified,False,False,False,False,False
林海 T-Boss 410,Currently no quotation available,Linhai,Not Specified,Not Specified,Not Specified,single cylinder four stroke water-cooled 400cc,25.8,19/6500,CVT continuously variable transmission automatic transmission,none,xx(mm),2733x1460x1890,850.0,568.0,26.0,62.0,Not specified,Not specified,Not Specified,False,False,False,False,False
林海 T-Boss 550,Currently no quotation available,Linhai,Not Specified,Not Specified,Not Specified,single cylinder four stroke water-cooled 500cc,32.6,24/6500,CVT continuously variable transmission automatic transmission,none,xx(mm),2730x1460x1885,860.0,600.0,26.0,72.0,Not specified,Not specified,Not Specified,False,False,False,False,False
林海 UTV 1100,Currently no quotation available,Linhai,Not Specified,Not Specified,Not Specified,inline three cylinder four stroke water-cooled 1100cc,25.2,18.5/3000,CVT continuously variable transmission automatic transmission,none,xx(mm),3110x1543x1990,830.0,882.0,35.0,55.0,Not specified,Not specified,Not Specified,False,False,False,False,False
林海 蓝钻LH125T-18,5400,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 118cc,7.6,5.6/7000,Not specified,Not Specified,Not specified,1862x710x1125,765.0,108.0,0.0,90.0,Not specified,Not specified,Not Specified,False,False,False,False,False
林海 V影LH100T-11,5600,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 100cc,6.7,4.9/8000,Not specified,Not Specified,Not specified,1750x645x1045,760.0,92.0,4.5,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
林海 娇格LH110T-5,4450,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 106cc,12.6,Not Specified,without limit automatic transmission,none,Not specified,1750x670x1080,770.0,91.0,5.0,95.0,Not specified,Not specified,Not Specified,True,True,False,False,True
林海 小金钢LH 110T,6180,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke 110cc,7.21,5.3/,continuously variable transmission,none,Not specified,Not Specified,770.0,96.0,5.6,95.0,Not specified,Not specified,Not Specified,False,True,False,False,True
林海 启程LH100T-19,4800,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 102cc,6.66,4.9/,infinite automatic transmission,none,Not specified,1735x635x1060,720.0,91.0,4.4,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
林海 极光LH125T-C,9400,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,9.2,6.8/7500,Not specified,Not Specified,Not specified,1860x655x1130,770.0,130.0,6.9,95.0,Not specified,Not specified,Not Specified,False,True,True,False,True
林海 LH400T-B,26500,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 376cc,12.6,Not Specified,continuously variable transmission,none,Not specified,2170,770.0,185.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,False,False,True
林海 V火LH100T-11,6500,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 100cc,6.66,4.9/8000,continuously variable transmission,none,Not specified,Not Specified,770.0,130.0,4.5,95.0,Not specified,Not specified,Not Specified,False,True,True,False,True
林海 福禧100,6200,Linhai,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 100cc,12.6,Not Specified,CVT continuously variable transmission automatic transmission,none,Not specified,1755x640x1025,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
林海 LYM110-2,5800,Linhai,Pedal,domestic,Not Specified,single cylinder 110cc,12.6,Not Specified,gear,not,Not specified,1870,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
隆鑫 180 RR,11800,Longxin,Street car,domestic production,Not Specified,"single cylinder four stroke air-cooled, 180cc",14.3,10.5/8000,international 6-speed,none,Not specified,1835x770x1060,770.0,139.0,10.5,105.0,Not specified,Not specified,Not Specified,False,False,False,False,False
隆鑫 200AC,14800,Longxin,Retro,Domestic,Not Specified,single cylinder four stroke air-cooled 200cc,17.0,12.5/8000,international 6-speed,none,Not specified,2005x800x1080,795.0,150.0,15.0,115.0,1.8,Not specified,Not Specified,False,False,False,False,False
隆鑫 福悦LX100-36,4380,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 110cc,7.1,5.2/7500,Not specified,Not specified,Not specified,1970x780x1050,770.0,110.0,0.0,80.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 红米CRM125,4695,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 124cc,9.93,7.3/8500,four speed,none,Not specified,1900x815x1070,760.0,115.0,17.0,90.0,Not specified,Not specified,Not Specified,False,False,False,False,False
隆鑫 LX125-70E,5980,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 125cc,9.9,7.3/,Not specified,Not specified,Not specified,2020x740x1125,770.0,130.0,0.0,90.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 速悦LX150-70C,5980,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,11.1,8.2/,Not specified,Not specified,Not specified,2020x750x1125,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 CRL150 LX150-62,6415,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,12.0,8.8/8500,Not specified,Not Specified,Not specified,1990x785x1050,765.0,118.0,13.6,95.0,2.1,Not specified,Not Specified,False,False,False,False,False
隆鑫 CR1,6415,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,12.0,8.8/8500,Not specified,Not specified,Not specified,1990x785x1050,765.0,118.0,13.6,95.0,Not specified,Not specified,Not Specified,False,False,False,False,False
隆鑫 途悦LX150-52,6500,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,11.15,8.2/,Not specified,Not specified,Not specified,2050,770.0,120.0,0.0,95.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 豪悦LX150-70B,6580,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,11.1,8.2/,Not specified,Not specified,Not specified,2015x755x1110,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,False,True,True,False,False
隆鑫 祥悦LX125-73,6700,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 125cc,9.9,7.3/,Not specified,Not specified,Not specified,2010x760x1130,770.0,130.0,0.0,90.0,2.8,Not specified,Not Specified,False,True,False,False,False
隆鑫 山地赛悦LX150-70E,6756,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,11.1,8.2/,Not specified,Not specified,Not specified,2005x735x1115,770.0,280.0,0.0,95.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 劲悦,6780,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,11.1,8.2/,Not specified,Not specified,Not specified,2110x835x1090,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 途悦LX150-52D,6880,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,11.1,8.2/,Not specified,Not specified,Not specified,205x80x1100,770.0,280.0,0.0,95.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 K150 LX150-70F,7944,Longxin,Street car,domestic production,Not Specified,single cylinder 150cc,11.1,8.2/,Not specified,Not specified,Not specified,2005x735x1150,770.0,135.0,0.0,95.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 CU3,8000,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,11.1,8.2/,Not specified,Not specified,Not specified,2005x735x1150,770.0,135.0,0.0,95.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 CR3 LX150-56A,8128,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,11.15,8.2/,Not specified,Not specified,Not specified,1980,770.0,135.0,16.0,120.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 GP150,8473,Longxin,Sports car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,14.2,10.5/,international 5-speed,none,Not specified,1980,780.0,137.0,16.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,False
隆鑫 登悦,8700,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,12.9,9.5/,Not specified,Not specified,Not specified,2100x820x1150,770.0,140.0,0.0,95.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 CR5,8980,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,12.9,9.5/7500,Not specified,Not Specified,Not specified,1985x830x1080,770.0,137.0,0.0,95.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 CR5 LX200-12,9250,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 200cc,14.96,11/7500,international 6-speed,Not specified,Not specified,1980,770.0,130.0,13.0,95.0,Not specified,Not specified,Not Specified,False,True,True,False,True
隆鑫 GP 200R,9480,Longxin,Sports car,domestic production,Not Specified,single cylinder four stroke air-cooled 200cc,15.6,11.5/7500,Not specified,Not specified,Not specified,1980x700x1080,770.0,140.0,15.0,95.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 GP250,15800,Longxin,Street car,domestic production,Not Specified,single cylinder four stroke oil cooled 250cc,17.0,12.5/,international 6-speed,none,Not specified,2030x720x1120,770.0,153.0,17.0,115.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 金莹LX125T-39,5580,Longxin,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,12.6,Not Specified,Not specified,Not specified,Not specified,1820x680x1110,770.0,100.0,0.0,80.0,Not specified,Not specified,Not Specified,True,True,False,False,False
隆鑫 丽悦LX125T-50,5880,Longxin,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,8.8,6.5/,Not specified,Not specified,Not specified,1850x658x1112,770.0,110.0,0.0,80.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 赛格LX125T-38,6580,Longxin,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,7.61,5.6/,Not specified,Not specified,Not specified,1850,770.0,102.0,0.0,95.0,Not specified,Not specified,Not Specified,False,True,False,False,True
隆鑫 采悦LX110-39,4280,Longxin,Bending beam,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.1,5.2/,Not specified,Not specified,Not specified,1875x675x1095,770.0,96.0,0.0,80.0,Not specified,Not specified,Not Specified,False,True,False,False,False
隆鑫 喜悦,4380,Longxin,Bending beam,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,12.6,Not Specified,Not specified,Not specified,Not specified,1900x665x1110,770.0,94.0,0.0,80.0,Not specified,Not specified,Not Specified,True,True,False,False,False
三業 都灵,6666,San,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,7.1,5.2/7500,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1800x700x1120,750.0,103.0,9.0,80.0,2.3,Not specified,"Glacier White/Goose Palm Yellow, Glacier White/Ducati Red, Qiuluo Lan/Silver, Tile Rock Grey/Silver, Turin Grey/Starry Moon White, Little Milan, Sparkling Silver, Starry Moon White/Silver",False,False,False,False,False
三業 欧拉110,6980,Three,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,8.2,6/7500,CVT continuously variable transmission automatic transmission,none,xx(mm),1755x690x1060,740.0,130.0,5.0,80.0,Not specified,Not specified,Not Specified,False,False,True,False,False
三業 梦拉110,6980,Three,Pedal,domestic,Zhejiang Dalong Jinchen Vehicle Manufacturing Co,single cylinder four stroke air-cooled 110cc,8.2,6/7500,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1830x690x1060,730.0,91.0,4.5,93.0,Not specified,Not specified,"Qingri Chun, White, Cement Grey, Haomai Red, Sun Orange, Lilac Pink, Light Camel Gold",False,False,False,False,False
三業 曼岛,7980,Three,Pedal,domestic,Zhejiang Dalong Jinchen Vehicle Manufacturing Co,single cylinder four stroke air-cooled 125cc,7.1,5.2/7500,CVT continuously variable transmission automatic transmission,standard,Not specified,1900x730x1200,760.0,107.0,8.0,80.0,2,Not specified,"Starry Twilight Grey/Black, Starry Sky Blue/Black, Azure/Orange, Wheat Field Green/White/Silver, Oyster White/Black, Bright Black/Matte Black",False,False,False,False,False
三業 USY,7380,Three,Pedal,domestic,Zhejiang Dalong Jinchen Vehicle Manufacturing Co,single cylinder four stroke air-cooled 125cc,7.1,5.2/,CVT continuously variable transmission automatic transmission,standard,Not specified,2005x680x1120,745.0,105.0,6.8,80.0,2.3,Not specified,"rock white/black, matte gemstone blue/black, matte light silver gray, frosted black/black",False,False,False,False,False
三業 劲锐110,7980,Three,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,8.2,6/7500,CVT continuously variable transmission automatic transmission,none,xx(mm),1880x700x1140,740.0,97.0,4.2,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
三業 喀秋莎,11980,Three,Pedal,domestic,Zhejiang Dalong Jinchen Vehicle Manufacturing Co,single cylinder four stroke water-cooled 150cc,12.9,9.5/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,1975x720x1160,760.0,140.0,10.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,False
