Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
春风 UFORCE 1000,99800,Spring,,,,V-type twin cylinder four stroke water-cooled  1000cc,72.1,53/7000,,CVT continuously variable transmission automatic transmission,-,-,3770x1615x1850,,870,40,,-,,-,,"Deep Sea Blue, Hunting Maple Leaf Camouflage, Desert Yellow"
春风 UFORCE 800,49800,Spring,,,,V-type twin cylinder four stroke water-cooled  800cc,,,,,-,xx(mm),2980x1465x1850,445,625,25,,-,,-,,
春风 捷马,,Chunfeng,pedal,domestic,,single cylinder four stroke water-cooled  250cc,22.4,16.5/8000,,CVT continuously variable transmission automatic transmission,none,-,2259x798x1366,718,200,12.5,130,-,,-,,
春风 捷悍,,Chunfeng,pedal,domestic,,single cylinder four stroke water-cooled  250cc,20.4,15/8000,,CVT continuously variable transmission automatic transmission,none,-,2185x775x1220,,181,12,140,-,,-,,
春风 船王 CF250T-D,,Chunfeng,pedal,domestic,,single cylinder four stroke water-cooled  250cc,17.7,13/,,CVT continuously variable transmission automatic transmission,none,-,2265x745x1355,,169,0,95,-,,-,,
春风 CF650J,,Chunfeng,,domestic production,,inline dual cylinder four stroke water-cooled  650cc,70.7,52/8500,,international 6-speed,standard,-,2145x820x1290,795,220,17.5,200,-,,-,,
春风 CF150J-2,,Chunfeng,street car,domestic production,,single cylinder four stroke water-cooled  150cc,12.0,8.8/8500,,international 6-speed,standard,-,2025x770x1070,775,142,10,100,2.3,,300,,
春风 CF400J,,Chunfeng,street car,domestic production,,inline dual cylinder four stroke water-cooled  400cc,42.8,31.5/9500,,international 6-speed,standard,-,2114x815x1100,815,206,17,180,-,,300,,
春风 CF250T-6J,,Chunfeng,pedal,domestic,,single cylinder four stroke water-cooled  250cc,20.4,15/8000,,CVT continuously variable transmission automatic transmission,-,-,2259,735,200,12.5,105,-,,-,,
春风 CF400J-3,,Chunfeng,,domestic production,,inline dual cylinder four stroke water-cooled  400cc,41.5,30.5/9500,,international 6-speed,standard,-,,795,216,19,145,-,,-,,
春风 CF400J-2,,Chunfeng,,domestic production,,inline dual cylinder four stroke water-cooled  400cc,42.8,31.5/9500,,international 6-speed,standard,-,2150,840,218,18,155,-,,-,,
春风 CF650J-2,,Chunfeng,,domestic production,,inline dual cylinder four stroke water-cooled  650cc,70.7,52/8750,,international 6-speed,standard,-,2245x998x1310,780,260,22,170,-,,-,,
春风 CF650J-3,,Chunfeng,,domestic production,,inline dual cylinder four stroke water-cooled  650cc,70.7,52/8750,,international 6-speed,standard,-,2210x990x1310,780,260,22,170,-,,-,,
春风 UFORCE 550,,Chunfeng,,,,single cylinder four stroke water-cooled  500cc,38.1,28/6800,,-,-,-,2980,445,625,26,84,-,,-,,
春风 国宾车CF650G,,Chunfeng,,domestic production,,inline dual cylinder four stroke water-cooled  650cc,70.7,52/8750,,international 6-speed,standard,-,2230x1000x1280,780,265,22,170,-,,-,,Chinese Red
春风 1250 J,,Chunfeng,,domestic production,,V-type twin cylinder four stroke water-cooled  1250cc,142.8,105/8500,,international 6-speed,standard,-,2300x1060x1420,820,305,23,220,-,,-,,"matte black, special police blue, public security white"
春风 300 GT-E,,Chunfeng,,domestic production,,,,,,,standard,xx(mm),2125x877x1239,770,,,120,,,150,,
春风 CF1250G,,Chunfeng,,domestic production,Zhejiang Chunfeng Power Co.,V-type twin cylinder four stroke water-cooled  1250cc,142.8,105/,,international 6-speed,standard,-,2300x1060x1420,,297,0,240,-,,-,,
春风 领跑王CF150-C,9628,Spring,street car,domestic production,,single cylinder four stroke water-cooled  150cc,15.64,11.5/9000,,6,-,-,2040,760,116,16.5,100,2,,-,,
春风 V9 CF250T-5A,33206,Spring,Cruising Crown Prince,Domestic,,single cylinder four stroke water-cooled  250cc,13.6,10/6600,,CVT continuously variable transmission automatic transmission,none,-,2355x875x1110,730,166,16.5,95,3,,-,,
无极 CU250,16980,Unlimited,Cruising Crown Prince,Domestic,Chongqing Longxin Locomotive Co.,V-type twin cylinder four stroke water-cooled  250cc,27.2,20/9000,,international 6-speed,standard,-,2205x820x1090,710,172,15,128,-,,-,,"Interstellar Silver, Starry Black"
无极 CU525,27188,Unlimited,Cruising Crown Prince,Domestic,Chongqing Longxin Locomotive Co.,inline dual cylinder four stroke water-cooled  500cc,53.8,39.6/8500,,international 6-speed,standard,-,2190x845x1105,710,188,15,160,-,,-,,"Polar Black Gold, Flame Crimson"
无极 SR150GT,13980,Unlimited,pedal,domestic,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  150cc,14.3,10.5/8250,,CVT continuously variable transmission automatic transmission,standard,-,1945x740x1265,755,139,8,99,2.4,,-,,"Saint Ya White, Titanium Silver Grey, Phantom Black"
无极 SR150C,13980,Unlimited,pedal,domestic,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  150cc,15.8,11.6/8500,,CVT continuously variable transmission automatic transmission,standard,-,1955x705x1165,755,135,9,106,-,,-,,"Philharmonic Orange, Tranquil Blues, Elegant Silver String"
无极 SR150GT H,13980,Unlimited,pedal,domestic,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  150cc,15.0,11/8250,,,CBS,-,1945x740x1265,755,139,8,99,-,,-,,"Midnight Blue, Phantom Grey"
无极 SR250GT,18888,Unlimited,pedal,domestic,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  250cc,25.8,19/8250,,CVT continuously variable transmission automatic transmission,standard,-,2100x795x1390,770,165,14,125,-,,-,,
无极 SR4 Max,31766,Unlimited,pedal,domestic,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  350cc,34.0,25/7500,,CVT continuously variable transmission automatic transmission,standard,xx(mm),2185x805x1390,761,214,12.8,139,3.8,,-,of,"Obsidian Black, Phantom Grey"
无极 LX150T-29A,,infinite,pedal,domestic,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  150cc,15.8,11.6/,,CVT continuously variable transmission automatic transmission,standard,-,1970x770x1300,,,0,106,-,,-,,
无极 300DS,24600,Unlimited,tension,domestically produced,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  300cc,27.9,20.5/9000,,international 6-speed,standard,xx(mm),2205x905x1370,810,185,16,125,-,,-,,
无极 300GY Rally,23600,Unlimited,Off road,Domestic,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  300cc,28.6,21/9000,,international 6-speed,standard,xx(mm),2120x875x1360,850,149,11,125,-,,-,,"Titanium Silver Grey, Flame Yellow, Glacier White"
无极 DS525,31766,Unlimited,tension,domestically produced,Chongqing Longxin Locomotive Co.,inline dual cylinder four stroke water-cooled  500cc,55.7,41/9000,,international 6-speed,standard,-,2265x940x1360,810,216,18,170,-,,-,,
无极 500DS,33580,Unlimited,tension,domestically produced,Chongqing Longxin Locomotive Co.,inline dual cylinder four stroke water-cooled  500cc,47.6,35/8500,,international 6-speed,standard,xx(mm),2115x845x1355,820,205,17.2,160,3.7,,-,,"Tiger Ben Black, Hero Grey"
无极 650DS,47800,Unlimited,tension,domestically produced,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  650cc,50.3,37/6500,,international 5-speed,standard,-,,,230,0,,-,,-,,"Blue, Silver Black"
无极 DS900X,58980,Unlimited,tension,domestically produced,Chongqing Longxin Locomotive Co.,inline dual cylinder four stroke water-cooled  900cc,96.5,71/8250,,international 6-speed,standard,xx(mm),2325x995x1420,835,253,17,210,-,,-,,"Secret Realm Black, Gongga Silver"
无极 250RR,15499,Unlimited,sports car,domestic production,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  250cc,29.2,21.5/9750,,international 6-speed,standard,-,1955x760x1140,770,158,13,140,-,,-,,"blue gray, purple black"
无极 300RR,19980,Unlimited,sports car,domestic production,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  300cc,28.6,21/9000,,international 6-speed,standard,xx(mm),2000x790x1110,780,165,15,125,-,,400,,"matte black, titanium silver gray"
无极 RR525,28980,Unlimited,sports car,domestic production,Chongqing Longxin Locomotive Co.,inline dual cylinder four stroke water-cooled  500cc,55.7,41/9000,,international 6-speed,standard,xx(mm),2030x760x1170,785,172,14.5,191,-,,-,,"Lightning Grey, Interstellar Black, Crimson Sand Red"
无极 RR660S,,infinite,sports car,domestic production,Chongqing Longxin Locomotive Co.,inline four cylinder four stroke water-cooled  660cc,100.6,74/,,international 6-speed,-,-,2090x750x1210,,215,0,230,-,,-,,
无极 RR350,,infinite,sports car,domestic production,,inline dual cylinder four stroke water-cooled  320cc,,,,international 6-speed,-,-,,,,0,,-,,-,,
无极 Q250,17980,Unlimited,Retro,Domestic,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  250cc,29.2,21.5/9750,,international 6-speed,standard,-,1990x785x1050,750,139,12,129,-,,-,,"Silver Moon White, Dark Night Black, Electric Blue"
无极 300AC,19980,Unlimited,Retro,Domestic,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  300cc,28.6,21/9000,,international 6-speed,standard,xx(mm),2024x810x1087,790,168,15,125,-,,-,,"Meteorite lime, matte army green"
无极 350AC,26680,Unlimited,Retro,Domestic,Chongqing Longxin Locomotive Co.,inline dual cylinder four stroke water-cooled  320cc,40.8,30/10500,,international 6-speed,standard,xx(mm),2040x770x1070,785,165,12.5,150,-,,-,,"Starry Sky Black, Moonlight Silver"
无极 AC525,31980,Unlimited,Retro,Domestic,Chongqing Longxin Locomotive Co.,inline dual cylinder four stroke water-cooled  500cc,53.8,39.6/8500,,international 6-speed,standard,-,2100x805x1170,800,188,19,160,-,,-,,"Pearl White, Titanium Grey"
无极 500AC,34980,Unlimited,Retro,Domestic,Chongqing Longxin Locomotive Co.,inline dual cylinder four stroke water-cooled  500cc,48.9,36/8500,,international 6-speed,standard,xx(mm),2100x805x1170,790,188,19,160,4,,-,,"Yapi Grey, Silver, Black Yellow, Phantom Blue"
无极 300R,19000,Unlimited,street car,domestic production,Chongqing Longxin Locomotive Co.,single cylinder four stroke water-cooled  300cc,28.6,21/9000,,international 6-speed,standard,xx(mm),1985x785x1060,780,164,15,125,-,,400,,"green, wild green"
无极 500R,29999,Unlimited,street car,domestic production,Chongqing Longxin Locomotive Co.,inline dual cylinder four stroke water-cooled  500cc,47.6,35/8500,,international 6-speed,standard,xx(mm),2100x770x1090,790,198,17.2,160,-,,-,for,
无极 525R,30980,Unlimited,street car,domestic production,Chongqing Longxin Locomotive Co.,inline dual cylinder four stroke water-cooled  500cc,53.8,39.6/8500,,international 6-speed,standard,xx(mm),2100x770x1170,785,188,17.2,165,-,,-,for,"Interstellar Black, Passion Red, Violence Yellow"
无极 650R,39800,Unlimited,street car,domestic production,,single cylinder four stroke water-cooled  650cc,50.3,37/6500,,international 5-speed,-,-,2035x850x1150,810,188,15,180,-,,-,,
无极 白幽灵 ER10,,infinite,Retro,Domestic,,,,,,,standard,xx(mm),,800,,,,,,100,,
豪爵 UFD125,9980,Haojue,pedal,domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  125cc,9.0,6.6/7500,,CVT continuously variable transmission automatic transmission,-,xx(mm),2025x705x1145,740,118,6.5,85,-,,-,,"Matte Black, Matte Aurora Blue, Matte Aurora Blue (Color Wheel), Matte Black (Color Wheel), Matte Blue Star Grey (Color Wheel), Matte Blue Star Grey, Matte Interstellar Grey (Color Wheel), Matte Interstellar Grey, Pearl White"
豪爵 AFR125/S,10680,Haojue,pedal,domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  125cc,9.0,6.6/7500,,CVT continuously variable transmission automatic transmission,none,xx(mm),1910x700x1105,740,120,6.5,85,-,,-,,"matte steel blue, matte interstellar gray"
豪爵 UHR150,16280,Haojue,pedal,domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke water-cooled  150cc,14.4,10.6/8500,,CVT continuously variable transmission automatic transmission,standard,xx(mm),1950x755x1120,760,140,8,,-,,-,,"Matte Earl Grey, Matte Blue Star Grey, Matte Interstellar Grey"
豪爵 TR150/S HJ150-16/A,9880,Haojue,Cruising Crown Prince,Domestic,,single cylinder four stroke air-cooled  150cc,11.3,8.3/8000,,-,None,-,2100x780x1100,725,146,10.7,120,1.75,,-,,
豪爵 TR150ES,11280,Haojue,Cruising Crown Prince,Domestic,,single cylinder four stroke air-cooled  150cc,11.3,8.3/8000,,-,None,-,2100x780x1100,725,146,10.7,95,2.0,,-,,
豪爵 TR150E,11680,Haojue,Cruising Crown Prince,Domestic,,single cylinder four stroke air-cooled  150cc,11.3,8.3/8000,,international 5-speed,none,xx(mm),2100x880x1155,725,146,10.7,120,1.75,,-,,
豪爵 GZS150,14980,Haojue,Cruising Crown Prince,Domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  150cc,12.6,9.3/8000,,international 5-speed,standard,-,2220x880x1145,700,158,12.4,96,-,,-,,"Pearl Black, Windsor Blue"
豪爵 TR300,Currently no quotation available,Haojue,Cruising Crown Prince,Domestic,Changzhou Haojue Suzuki Motorcycle Co.,inline dual cylinder four stroke water-cooled  300cc,29.2,21.5/,,international 6-speed,standard,-,2300x845x1145,,189,0,136,-,,-,,
豪爵 悦酷 GZ150-E,12300,Haojue,Cruising Crown Prince,Domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  150cc,11.7,8.6/8000,,international 5-speed,none,xx(mm),2235x880x1155,700,157,11.8,95,2.14,,550,,Pearl black
豪爵 DN150,Currently no quotation available,Haojue,Retro,Domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  150cc,12.6,9.3/8000,,international 5-speed,standard,-,2005x770x1090,760,131,11,95,1.89,,580,,"Transparent Red, Pearl Black, Matte Blue Star Grey, Matte Star Grey"
豪爵 DF150,9580,Haojue,street car,domestic production,,single cylinder four stroke air-cooled  150cc,12.4,9.1/7500,,reciprocating 5-speed,none,xx(mm),2040x745x1055,760,133,15,,-,,-,,"Pearl White/Leopard Red, Leopard Red, Pearl Black, Flame Orange, Cool Blue, Fluorescent Green"
豪爵 DR150,12880,Haojue,street car,domestic production,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  150cc,12.4,9.1/7500,,reciprocating 5-speed,none,xx(mm),2000x765x1040,790,148,12,,1.92,,-,,"Cool Blue/Pearl Black, Leopard Red/Pearl Black, Leopard Red/Pearl White, Pearl Black, Cool Blue, Leopard Red, Pearl White"
豪爵 DR160,13280,Haojue,street car,domestic production,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  160cc,15.0,11/8000,,international 5-speed,none,xx(mm),2000x765x1040,790,148,12,,1.92,,600,,"Pearl Black, Cool Blue, Diamond Leopard Red"
豪爵 DR250,24680,Haojue,street car,domestic production,Changzhou Haojue Suzuki Motorcycle Co.,inline dual cylinder four stroke water-cooled  250cc,25.0,18.4/8000,,international 6-speed,standard,xx(mm),2075x720x1050,785,177,16,,-,,-,,"Starlight Black, Crystal White, Cool Red"
豪爵 XCR300,24980,Haojue,street car,domestic production,Changzhou Haojue Suzuki Motorcycle Co.,inline dual cylinder four stroke water-cooled  300cc,29.2,21.5/8500,,international 6-speed,standard,xx(mm),2110x770x1100,785,179,16,136,3.14,,500,,"Starlight Black, Glacier White, Panther Red, Windsor Blue, Sea God Blue"
豪爵 DR300,26680,Haojue,street car,domestic production,Changzhou Haojue Suzuki Motorcycle Co.,inline dual cylinder four stroke water-cooled  300cc,29.2,21.5/8500,,international 6-speed,standard,xx(mm),2075x720x1050,785,177,16,136,3.04,,-,,"Starlight Black, Cool Red, Crystal White, Grey, Cement Grey"
豪爵 DL150,14680,Haojue,tension,domestically produced,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  150cc,12.6,9.3/8000,,international 5-speed,standard,-,2025x775x1195,795,148,13,,1.89,,680,,"matte black, flame orange, Italian red, cool blue, pearl black"
豪爵 NK150,12880,Haojue,Off road,Domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  150cc,12.4,9.1/7500,,international 5-speed,standard,xx(mm),2070x825x1165,835,137,12.2,110,2.04,,500,,"Pure Black, Italian Red, Snow Mountain White"
豪爵 VF125,6780,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,8.8,6.5/7000,,CVT continuously variable transmission automatic transmission,none,xx(mm),2010x695x1120,745,110,5.9,,-,,-,,
豪爵 喜之星HJ100T-7M,6070,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  100cc,6.8,5/7500,,-,None,-,1740x670x1070,,100,0,,-,,-,,
豪爵 炫迪HJ110-3,6080,Haojue,bending beam,domestic,,single cylinder four stroke air-cooled  110cc,6.8,5/7500,,-,-,-,1895x725x1095,755,107,4.2,,1,,-,,
豪爵 VN100 HJ100T-6A,6580,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  100cc,6.8,5/7500,,2,-,-,1770,723,104,0,,2,,-,,
豪爵 VM100E HJ100T-5C,6780,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  100cc,6.8,5/7500,,,none,-,1770x675x1055,720,104,5.5,,-,,-,,
豪爵 新悦星125,6980,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,8.8,6.5/7000,,CVT continuously variable transmission automatic transmission,none,xx(mm),1860x705x1105,745,110,5.9,,-,,-,,"Pearl Black, Agate Red, Pearl White, Moonlight Silver"
豪爵 VN100E HJ100T-6C,6980,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  100cc,6.8,5/7500,,,none,-,1770x675x1055,720,104,5.5,,-,,-,,
豪爵 灵迪HJ125T-18,7300,Haojue,pedal,domestic,,single cylinder two-stroke air-cooled  125cc,8.4,6.2/7000,,-,None,-,1780x645x1085,730,,6,110,2,,-,,
豪爵 灵迪ER HJ125T-18G,7380,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,8.4,6.2/7500,,-,None,-,1785x670x1085,730,110,5.6,,-,,-,,
豪爵 VSR125,7380,Haojue,pedal,domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  125cc,8.8,6.5/7000,,CVT continuously variable transmission automatic transmission,-,-,1990x695x1135,745,113,5.9,85,-,,-,,"Pearl White, Pearl Black, Moonlight Silver, Agate Red, Blue Gold Grey"
豪爵 灵迪EQ HJ125T-18H,7480,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,8.4,6.2/7500,,-,None,-,1790x670x1080,730,110,5.6,88,-,,-,,
豪爵 VS125E,7580,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,8.4,6.2/7500,,CVT continuously variable transmission automatic transmission,-,-,1780x670x1110,730,113,5.6,94,-,,-,,"Pearl White, Sea God Blue, Starlight Black, Cool Red, Moonlight Silver"
豪爵 VH125,7580,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,9.0,6.6/7500,,CVT continuously variable transmission automatic transmission,none,xx(mm),1845x675x1105,740,110,6.5,,-,,-,,"Moonlight Silver, Pearl White, Blue Gold Grey, Agate Red, Cool Blue, Pearl Black"
豪爵 宇钻HJ125T-10,7880,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,,,,-,-,-,1835x690x1140,,110,0,,-,,-,,
豪爵 速道 VD125/S,8500,Haojue,pedal,domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  125cc,9.0,6.6/7500,,CVT continuously variable transmission automatic transmission,-,-,2065x700x1160,740,120,6.5,,-,,-,,"Agate Red, Cool Blue, Pearl White, Moonlight Silver, Pearl Black"
豪爵 VE 125,7980,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,8.4,6.2/7000,,CVT continuously variable transmission,none,xx(mm),1780x670x1095,730,112,5.6,,-,,-,,
豪爵 Eagle 125,7980,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,9.0,6.6/7500,,-,None,xx(mm),1800x,740,,5.9,,-,,-,,
豪爵 UCR100,8280,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  100cc,7.3,5.4/7500,,CVT continuously variable transmission automatic transmission,none,xx(mm),1960x685x1120,730,108,5.5,,1.92,,-,,"matte bright silver, matte steel blue, matte interstellar gray"
豪爵 天鹰HJ125T-16D,8398,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,,,,-,None,-,1885x670x1120,650,110,8,85,-,,-,,
豪爵 天鹰HJ125T-16E,8398,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,,,,-,None,-,1885x670x1120,650,110,8,85,-,,-,,
豪爵 虎鲨VX125,8980,Haojue,pedal,domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  125cc,9.0,6.6/7500,,CVT continuously variable transmission automatic transmission,none,xx(mm),2065x700x1160,740,119,6.5,,-,,-,,"Pearl Black, Pearl White, Matte Steel Blue, Matte Interstellar Grey, Matte Blue Interstellar Grey"
豪爵 海王星,8580,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,9.4,6.9/7500,,CVT continuously variable transmission automatic transmission,none,-,1830x710x1095,735,121,5.4,,-,,-,,silver white
豪爵 USR125,8980,Haojue,pedal,domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  125cc,9.0,6.6/7500,,CVT continuously variable transmission automatic transmission,none,xx(mm),2000x680x1130,740,110,6.5,,2.09,,311,,"Matte Steel Blue, Matte Interstellar Grey, Pearl White, Moonlight Silver, Diamond Leopard Red, Pearl Black"
豪爵 M-Boy,8980,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,9.0,6.6/7500,,CVT continuously variable transmission automatic transmission,none,xx(mm),1870x690x1140,740,110,6.5,,-,,-,,"Black, Pearl White, Moonlight Silver, Light Blue"
豪爵 M-Girl,8980,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,9.0,6.6/7500,,CVT continuously variable transmission automatic transmission,none,-,1825x690x1130,740,110,6.5,,-,,-,,"light blue, moonlight silver, rose gold, pearl white"
豪爵 天玉UZ125T-A,8891,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,8.7,6.4/7500,,-,-,-,1820x610x1080,730,110,6,85,2,,-,,
豪爵 Super Eagle 125,8980,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,9.0,6.6/7500,,CVT continuously variable transmission automatic transmission,none,xx(mm),1800x705x1065,740,110,5.9,,-,,-,,
豪爵 NFR125,8980,Haojue,pedal,domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  125cc,9.0,6.6/7500,,CVT continuously variable transmission automatic transmission,-,-,1850x705x1095,740,115,6.5,,-,,-,,"Matte Earl Grey+Pearl White, Matte Aurora Blue, Matte Interstellar Grey, Pearl Black"
豪爵 UCR125,9480,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,9.0,6.6/7500,,CVT continuously variable transmission automatic transmission,none,xx(mm),2035x695x1125,740,119,6.5,,-,,-,,"Moonlight Silver, Yueguan Red, Pearl White, Pearl Black, Matte Interstellar Grey, Matte Steel Blue"
豪爵 VR 150 E,9380,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  150cc,9.5,7/7000,,CVT continuously variable transmission automatic transmission,none,xx(mm),1910x720x1120,740,120,5.9,,-,,-,,"Pearl White, Moonlight Silver, Dazzling Red, Starlight Black, Steel Blue"
豪爵 VR150 HJ150T-19,9450,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  150cc,9.7,7.1/7000,,-,None,-,1910x720x1120,740,120,6.4,90,-,,-,,
豪爵 鹰钻HJ125T-10E,Currently no quotation available,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,8.7,6.4/7500,,-,-,-,1835x690x1130,730,110,0,85,2,,-,,
豪爵 VF100,Currently no quotation available,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  100cc,7.3,5.4/7500,,CVT continuously variable transmission automatic transmission,-,-,1965x675x1100,720,104,6.2,,-,,-,,"Pearl Black, Blue Gold Grey, Cool Blue, Agate Red, Pearl White, Moonlight Silver"
豪爵 鹰钻E HJ125T-10K,Currently no quotation available,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,8.8,6.5/7000,,-,None,-,1805x715x1110,745,113,5.9,,-,,-,,"Agate Red, Moonlight Silver, Rose White, Pearl Black, Brilliant Blue"
豪爵 宇钻E 125,Currently no quotation available,Haojue,pedal,domestic,,single cylinder four stroke air-cooled  125cc,8.8,6.5/7000,,-,None,xx(mm),1805x715x1110,745,113,5.9,,-,,-,,
豪爵 U100,Currently no quotation available,Haojue,pedal,domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  100cc,7.3,5.4/7500,,CVT continuously variable transmission automatic transmission,-,-,1960x680x1080,730,104,5.5,80,-,,-,,"Pearl White, Pearl Black, Cardamom Green, Yulu Rice, Flower Pink, Cloud Water Blue"
豪爵 HJ125T-58,Currently no quotation available,Haojue,pedal,domestic,Jiangmen Dachangjiang Group Co.,single cylinder four stroke  125cc,9.0,6.6/,,CVT continuously variable transmission automatic transmission,standard,-,2075x750x1160,,120,0,85,-,,-,,
豪爵 银豹HJ125-7N,5280,Haojue,street car,domestic production,,single cylinder four stroke air-cooled  125cc,10.06,7.4/,,-,-,-,2025,,127,0,90,-,,-,,
豪爵 银豹HJ125-7D,5280,Haojue,street car,domestic production,,single cylinder four stroke air-cooled  125cc,9.8,7.2/8000,,-,-,-,2020x730x1135,,127,10,90,-,,-,,
豪爵 银豹HJ125-7M,5364,Haojue,street car,domestic production,,single cylinder four stroke air-cooled  125cc,10.1,7.4/,,-,-,-,2020x730x1135,,127,0,90,-,,-,,
豪爵 银豹HJ125-7F,5580,Haojue,street car,domestic production,,single cylinder four stroke air-cooled  125cc,9.5,7/8000,,-,-,-,2025x730x1070,,127,10.5,94,-,,-,,
豪爵 HJ125-8F,5663,Haojue,Cruising Crown Prince,Domestic,,single cylinder four stroke air-cooled  125cc,10.1,7.4/8000,,-,-,-,1985x790x1110,735,,8.5,,-,,-,,
豪爵 悦帅GD110,5682,Haojue,street car,domestic production,,single cylinder four stroke air-cooled  112cc,8.4,6.2/8000,,-,-,-,1905x765x1065,760,,8,85,1,,-,,
豪爵 喜冠HJ150-2C,6080,Haojue,street car,domestic production,,single cylinder four stroke air-cooled  150cc,11.7,8.6/,,-,-,-,2030x795x1065,,126,11,95,2,,-,,
豪爵 喜冠HJ150-2E,6094,Haojue,street car,domestic production,,single cylinder four stroke air-cooled  150cc,11.7,8.6/8000,,-,-,-,2045x775x1080,780,137,12,,-,,-,,
豪爵 HJ125-8,Currently no quotation available,Haojue,street car,domestic production,Jiangmen Dachangjiang Group Co.,single cylinder four stroke air-cooled  125cc,10.1,7.4/8000,,cycle 5-speed,-,-,1975x800x1110,740,123,9.5,93,-,,-,,"Transparent Red, Pearl Black, Transparent Red (for large shelves), Pearl Black (for large shelves)"
豪爵 骊爽HJ125-19,6336,Haojue,street car,domestic production,,single cylinder four stroke air-cooled  125cc,,,,-,-,-,2030x750x1085,750,129,10,,2,,-,,
豪爵 钻豹HJ125K-2A,6387,Haojue,street car,domestic production,,single cylinder four stroke air-cooled  125cc,10.9,8/,,-,-,-,2040x745x1095,,120,0,92,-,,-,,
豪爵 钻豹HJ125K-A,6480,Haojue,street car,domestic production,,single cylinder four stroke air-cooled  125cc,10.9,8/9000,,-,-,-,2040x745x1135,,120,11,92,2,,-,,
